x	y	codepoint
0.20282009	0.1318143	10584
0.21574283	0.019787095	10585
0.1689376	-0.055539086	10586
0.16907878	-0.076743335	10587
0.23847051	0.068691164	10588
0.22028002	0.09807386	10589
0.23328269	0.018135743	1059
0.17151071	-0.058973808	10590
0.16910174	-0.07463496	10591
0.23813985	0.06483038	10592
0.21658285	0.09986164	10593
0.14150465	-0.05924913	10594
0.07776811	-0.22515546	10595
0.14357814	-0.049646184	10596
0.08147154	-0.21350573	10597
0.14498132	-0.056978535	10598
0.14517578	-0.05515548	10599
0.25988337	-0.08904875	106
0.26061076	0.030218283	1060
0.1400598	-0.051648352	10600
0.14525801	-0.058432776	10601
0.15339802	-0.06752591	10602
0.154758	-0.06692512	10603
0.14692868	-0.058899775	10604
0.15274914	-0.0617158	10605
0.0800327	-0.22391196	10606
0.07932927	-0.2080205	10607
0.15155327	-0.059226457	10608
0.13645476	-0.060060307	10609
0.26166716	0.010058582	1061
0.14684793	-0.05745103	10610
0.15736237	-0.07388922	10611
0.15795512	-0.07378914	10612
0.15499893	-0.081364505	10613
0.08262488	-0.13926366	10614
0.13496155	-0.06979632	10615
0.09184762	-0.11895781	10616
0.06128072	-0.09098571	10617
0.1408343	-0.061919402	10618
0.062307566	-0.09414853	10619
0.32238162	0.06158966	1062
0.23720147	-0.049727798	10620
0.21239409	-0.07666186	10621
0.12650956	-0.25713202	10622
0.1492718	-0.16547443	10623
0.29719433	0.0026556754	10624
0.14946921	-0.25493053	10625
0.22700308	-0.0049357973	10626
0.2723137	0.11896474	10627
0.2760707	0.119340844	10628
0.22744152	0.019947866	10629
0.2808031	0.045018688	1063
0.2378519	0.020227386	10630
0.2526869	0.03996383	10631
0.25282753	0.026253328	10632
0.23352583	0.013712246	10633
0.23044424	0.011981206	10634
0.22897787	-0.017627163	10635
0.23794122	0.04093286	10636
0.23095539	0.055613015	10637
0.22358692	0.008207905	10638
0.2453249	0.0023571642	10639
0.31106135	-0.0023484083	1064
0.22574474	0.05973286	10640
0.21659125	-0.013996229	10641
0.22991645	0.008312865	10642
0.08946668	-0.10643005	10643
0.0898554	-0.09600065	10644
0.07404057	-0.11969333	10645
0.07221765	-0.16115107	10646
0.25047818	-0.006159853	10647
0.25173733	0.011571518	10648
0.20078601	-0.23940831	10649
0.31781974	-0.0028234033	1065
0.109594956	-0.20500137	10650
0.11438153	-0.09996363	10651
0.15304996	-0.09194854	10652
0.14823435	-0.08637507	10653
0.1246865	-0.08133562	10654
0.15026526	-0.1252288	10655
0.105087675	-0.12276035	10656
0.12400867	-0.07432577	10657
0.12319508	-0.043529224	10658
0.15114565	-0.14161478	10659
0.24824652	-0.017187567	1066
0.07700121	-0.051817622	10660
0.08274709	-0.03235303	10661
0.26793838	-0.23031299	10662
0.23847772	-0.16860308	10663
0.09411999	-0.07819072	10664
0.098737076	-0.10570604	10665
0.091566555	-0.0075444635	10666
0.0797608	-0.119267166	10667
0.10963469	-0.076604374	10668
0.120347224	-0.039319374	10669
0.32985035	0.03644584	1067
0.11853459	-0.08347405	10670
